iteracje,limit_stagnacji,fitness_koncowy,rozm_populacji,selekcja,krzyzowanie,mutacja,procent_rodzicow,czas
100,20,300,10,roulette,ox1,swap,0,5,63880335155,44
100,20,300,10,roulette,ox1,swap,0,5,63880335155,44
100,20,317,10,roulette,ox1,swap,0,5,63880335155,44
100,20,327,10,roulette,ox1,swap,0,5,63880335155,45
100,20,300,10,roulette,ox1,swap,0,5,63880335155,45
100,20,300,10,roulette,ox1,swap,0,5,63880335155,45
100,20,340,10,roulette,ox1,swap,0,5,63880335155,45
100,20,317,10,roulette,ox1,swap,0,5,63880335155,45
100,20,305,10,roulette,ox1,swap,0,5,63880335155,45
100,20,346,10,roulette,ox1,swap,0,5,63880335155,45
100,20,300,10,roulette,ox1,swap,0,5,63880335155,45
100,20,316,10,roulette,ox1,swap,0,5,63880335426,78, 7c28324d-a854-45b8-9c0f-502bf08d3cc6
100,20,318,10,roulette,ox1,swap,0,5,63880335436,74, 7c28324d-a854-45b8-9c0f-502bf08d3cc6
100,20,293,10,roulette,ox1,swap,0,5,63880335448,92, a7adca23-f091-412b-bff0-403de4e31c2b
100,20,294,10,roulette,ox1,swap,0,5,63880335459,81, c3fa29e8-9848-40be-9f9b-1e2665e6a1a9
100,20,313,10,roulette,ox1,swap,0,5,63880335459,82, 0d64eaf6-10fc-431e-a95b-227335584e77
100,20,369,10,roulette,ox1,swap,0,5,63880335459,82, bd98ab07-2588-4367-afd5-33cbdcad3c8b
100,20,245,10,roulette,ox1,swap,0,5,63880335459,82, 8e9db107-c5ba-4f40-9eb3-9fd5d24de5c7
100,20,245,10,roulette,ox1,swap,0,5,63880335466,17, 8e9db107-c5ba-4f40-9eb3-9fd5d24de5c7
100,20,250,10,roulette,ox1,swap,0,5,63880335466,17, 8e9db107-c5ba-4f40-9eb3-9fd5d24de5c7
100,20,250,10,roulette,ox1,swap,0,5,63880335466,17, 8e9db107-c5ba-4f40-9eb3-9fd5d24de5c7
100,20,260,10,roulette,ox1,swap,0,5,63880335466,17, 8e9db107-c5ba-4f40-9eb3-9fd5d24de5c7
83855de8-34e9-4c5b-9c67-f364312329dc,63880335827,77,10,1,281,10,10,roulette,ox1,swap,0,5,0,1,0,9,False
bc51f38c-ebfc-466b-9082-134329f2a00f,63880335898,86,100,20,292,10,10,roulette,ox1,swap,0,5,0,1,0,9,False
bc51f38c-ebfc-466b-9082-134329f2a00f,63880335904,33,100,20,295,10,10,roulette,ox1,swap,0,5,0,1,0,9,False
bf7ecc2f-a5fd-4854-b126-bb3ab2115c84,63880335962,86,20,20,345,10,10,roulette,ox1,swap,0,5,0,1,0,9,False
d273997c-86b0-42a9-9d1f-5f361bf5bf44,63880336023,87,30,20,313,10,10,roulette,ox1,swap,0,5,0,1,0,9,False
d273997c-86b0-42a9-9d1f-5f361bf5bf44,63880336027,56,30,20,295,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
d273997c-86b0-42a9-9d1f-5f361bf5bf44,63880336030,27,30,20,342,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
d273997c-86b0-42a9-9d1f-5f361bf5bf44,63880336032,25,30,20,332,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
d273997c-86b0-42a9-9d1f-5f361bf5bf44,63880336035,03,30,20,309,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
d273997c-86b0-42a9-9d1f-5f361bf5bf44,63880336037,09,30,20,305,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
d273997c-86b0-42a9-9d1f-5f361bf5bf44,63880336038,90,30,20,321,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
2413f4bd-c0ba-4191-b583-85e829ba07e5,63880336141,05,100,20,351,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
2413f4bd-c0ba-4191-b583-85e829ba07e5,63880336143,45,100,20,313,10,10,roulette,ox1,swap,0,5,0,1,0,9,True
30d19039-6f5a-43e6-a938-27489a78b31f,63880336886,76,100,20,57,290,10,10,roulette,ox1,swap,0,5,0,1,0,9
30d19039-6f5a-43e6-a938-27489a78b31f,63880336915,81,100,20,49,282,10,10,roulette,ox1,swap,0,5,0,1,0,9
30d19039-6f5a-43e6-a938-27489a78b31f,63880336915,81,100,20,52,337,10,10,roulette,ox1,swap,0,5,0,1,0,9
30d19039-6f5a-43e6-a938-27489a78b31f,63880336915,81,100,20,41,312,10,10,roulette,ox1,swap,0,5,0,1,0,9
30d19039-6f5a-43e6-a938-27489a78b31f,63880336915,81,100,20,59,282,10,10,roulette,ox1,swap,0,5,0,1,0,9
30d19039-6f5a-43e6-a938-27489a78b31f,63880336915,81,100,20,58,282,10,10,roulette,ox1,swap,0,5,0,1,0,9
